Title,Platform,Genres,Release_date,Publisher Name,Age Rating,Metascore,Description
Hotline Miami 2: Wrong Number,"Android, PS Vita, PlayStation 4, PlayStation 3, Linux, macOS, PC, Nintendo Switch, iOS","Action, Shooter, Arcade, Indie","Mar 9, 2015",Devolver Digital,17+ Mature,85,Hotline Miami 2: Wrong number is a sequel to Hotline Miami.
Resident Evil 6,"Web, Nintendo Switch, PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3","Action, Shooter, Adventure","Oct 2, 2012",Capcom,17+ Mature,82,"Bioterrorism ... Terrorists infect the US President with a vaccine that makes him an aggressive zombie. And one of the heroes of the game will have to kill him. Behind the terrorists, there is a mafia organisation that wants to hide the truth about the impossibility to control the biological weapons developed by it, which turns people into zombies. Bioterrorists opposed by a detachment of special forces - it serves two other characters.
The action of the game periodically turns from a personal vendetta into a global catastrophe and back. One President-zombie is replaced by whole cities of infected. Zombies and mutants, bioterrorists, special forces and mercenaries - they all act constantly, fight and survive in open territories and secret bases.
In total, you can play for seven characters, including a woman - the head of terrorists. Four story campaigns, after going through one line of the plot, you can choose another lens and see the events from a different perspective.
There are many enemies, but ammunition drops out of them after death. The more dangerous is the enemy, the more ammo is dropped. In hand-to-hand combat, various combo attacks help. The complete passage of the game is described as approximately 25 hours of pure action."
The Outer Worlds,"PlayStation 4, PC, Nintendo Switch, Xbox One","Action, Shooter, Adventure, RPG","Oct 25, 2019",Private Division, Not rated,80,The Outer Worlds is a new single-player first-person sci-fi RPG from Obsidian Entertainment and Private Division.
A Story About My Uncle,"PC, macOS, Linux","Adventure, Arcade, Casual, Indie, Platformer","May 27, 2014",Coffee Stain Studios,10+ Everyone 10+,77,"A Story About My Uncle is a first-person adventure with a heavy focus on moving using a grappling hook and a non-violent approach thus making the plot and landscapes the critical focus of the gaming experience. There is no series of this game: it is the only title in the IP by Gone North also known as Goat Simulator creators. 
The core gameplay features are the energetic costume giving its owner the ability to jump higher and use the grappling hook, and various updates to this outfit, for example, jetpack boots. While mastering this Spider-Man-like potential, the hero encounters various non-hostile NPCs and environment, the only menacing obstacle in the game is a one-eyed worm, lurking in one of the caves. However, the worst scenario is that it blows you off the cliff. Worm likes to take a nap so getting over him is not a big deal.
The plot follows a boy looking for his uncle, Freud. His nephew, after a little research in his flat, has discovered the super costume and traveled to another dimension. There are some optional collectibles scattered across the world. We shall also meet Maddy, who helps us find a missing character"
PAYDAY The Heist,"PC, PlayStation 3","Action, Shooter","Oct 18, 2011",Sony Interactive Entertainment,18+ Adults Only,76,"PAYDAY The Heist is a dynamic co-op shooter that allows players to assume the role of a bank robber and to try on the criminal life from the first-person view. This game is the first part of the PAYDAY series and the beginning of the story of four outlaws – Dallas, Hoxton, Chains and Wolf. The gameplay is about completing 6 different heists throughout America alone (with bots) or in a team (up to 4 members). Each robbery could be carried out in two separate ways: players should decide whether stealth or a breakthrough attack is more suitable and prepare all the ammunition properly in advance. The squad of criminals searching for another “big score” is set up against easy-to-manipulate civilians and powerful police forces, so players are to try their best to prevent the alarm signals and not to face armed resistance. However, if the heavy combat begins, the best option will be to keep shooting countless enemies down till the money is in the bag and the heist is over."
Alan Wake's American Nightmare,"Xbox 360, PC, Xbox One","Action, Shooter","Feb 22, 2012",Microsoft Studios, Not rated,,"Alan Wake's American Nightmare is a third-person shooter game, a follow-up to 2010 Remedy Entertainment title Alan Wake. However, it is not a full-fledged sequel to the game but rather a spin-off. The game’s tone and style are much more light-hearted and comedic than in the original, and the color palette is significantly brighter. 
The game’s story takes place two years after the original game in a fictional town Night Springs, Arizona. The series protagonist, Alan Wake, must defeat his dark doppelganger, Mr. Scratch to escape the Dark Place. American Nightmare’s gameplay is very similar to that of the original game; however, this time it is much more action-oriented, rather than story-driven. Its combat is centered around the same chief combat mechanic – focusing the flashlight on enemies on making them vulnerable to weapon."
The Legend of Zelda: Breath of the Wild,"Nintendo Switch, Wii U","Action, Adventure, RPG","Mar 3, 2017",Nintendo,10+ Everyone 10+,97,The Legend of Zelda: Breath of the Wild is an adventure game developed by Nintendo. It is the nineteenth installment in the series.
Age of Wonders III,"PC, macOS, Linux","RPG, Strategy","Mar 31, 2014",Paradox Interactive, Not rated,80,Age of Wonders 3 is a turn-based strategy game developed by Triumph Studios. It is the fourth title in the Age of Wonders game series.
SMITE,"PlayStation 4, Nintendo Switch, Xbox One, macOS, PC",Action,"Aug 19, 2015",Hi-Rez Studios, Not rated,83,Smite is a free-to-play MOBA game developed by Hi-Rez Studios.
Borderlands 3,"PC, Xbox One, Nintendo Switch, PlayStation 4, PlayStation 5, Xbox Series S/X","Action, Shooter, Adventure, RPG","Sep 13, 2019",2K Games,17+ Mature,83,"MAYHEM IS COMING
The original shooter-looter returns, packing bazillions of guns and a mayhem-fueled adventure! Blast through new worlds and enemies as one of four new Vault Hunters. Play solo or with friends to take on insane enemies, score loads of loot and save your home from the most ruthless cult leaders in the galaxy."
Black Mesa,"PC, Linux","Action, Shooter, Indie","Mar 6, 2020",Crowbar Collective, Not rated,86,"Black Mesa is the original Half-Life as if it was made in the 21st century using modern graphics and updated mechanics. This remake of the classic game was envisioned by a group of enthusiasts, approved by Valve, and spent eight years in the making. The name, Black Mesa, refers to the secret research facility where the game is set. The player assumes the role of Gordon Freeman, a scientist caught in the midst of an experiment gone wrong. An anomaly breaks out, and hordes of monsters invade Black Mesa.
While Black Mesa and Half-Life are basically the same game, there are many subtle changes besides the improved graphics. The amount of ammo has changed, as well as the order in which the weapons appear in the game. The iconic crowbar is found in a different place. There are also new options like zooming in and out and reprogramming gun turrets. Some of the levels were shortened, and some of the monsters became stronger. NPCs became more intelligent, and they will perform certain actions to aid Gordon. Design of the characters also became more varied, and women finally appeared in the game. Black Mesa also introduced an achievement system and a multiplayer mode."
Hitman: Blood Money,"Xbox 360, PlayStation 4, PC, PlayStation 2, PlayStation 3, Xbox","Action, Shooter","May 29, 2006",Square Enix, Not rated,82,"Money Talks. Silence Pays. Prepare to Make a Killing. When assassins from Agent 47's contract agency, The ICA, are eliminated in a series of hits, it seems a larger, more powerful agency has entered the fray. Sensing he may be a target, 47 travels to America, and prepares to make a killing."
Mafia: The City of Lost Heaven,"PlayStation 2, Xbox, PC","Action, Adventure","Aug 28, 2002",2K Games,17+ Mature,88,"It’s 1930. After an inadvertent brush with the mafia, cabdriver Tommy Angelo is reluctantly thrust into the world of organized crime. Initially, he is uneasy about falling in with the Salieri family, but soon the rewards become too big to ignore. As he rises through the ranks, the paydays keep getting bigger, but the jobs get even dirtier. Tommy may ultimately earn the respect of the Salieris, but becoming a Made Man will leave him more conflicted than ever with the new life he has chosen.Experience New HeavenExplore more than 12 square miles of New Heaven, a quintessential 1930's American city based on historic Depression-era architecture and culture.Authentic Story and Action-packed GameplayPlay more than 20 thrilling missions inspired by events from the 1930’s. Rise through the ranks of the Salieri family from foot-soldier to Made Man, taking on mob hits, car chases, bootlegging, shootouts, bank robberies and more.Era-inspired Vehicles and WeaponsAs a daring getaway driver, get behind the wheel of more than 60 historically-inspired cars featuring realistic physics and real-time damage."
The Long Dark,"PlayStation 4, Xbox One, Nintendo Switch, PC, macOS, Linux","Action, Adventure, Simulation, Indie","Sep 22, 2014",Hinterland Studio,13+ Teen,76,"The Long Dark is a game about surviving in the unforgiving conditions of frozen North Canadian taiga. The Arctic wilderness may be breathtakingly beautiful, thanks to the game’s artful visual style, but it is also deadly. Low temperatures, hungry animals like wolves and bears, and starvation can easily kill your character. To stay alive, he will need to learn how to light a campfire, find shelter, care about his wounds, hunt for food and protect himself in an unfriendly environment. Many necessary items in the game, including some of the weapons, need to be crafted out of the junk that you can find in the woods and in abandoned buildings.
In the story mode, called Wintermute, you control a pilot, Will Mackenzie, who was hired by his ex-wife Astrid to deliver a mysterious cargo. Eventually, his plane crashed in the woods. Will is injured, and Astrid is missing, presumably lost somewhere in the wilderness. Your goal is to survive and to rescue your companion. Wintermute follows a linear plot and only allows you to explore a limited area. However, it is recommended to start with, since it serves as a sort of tutorial to the open-world sandbox mode. This is the most popular mode, in which you are not confined to the plot and can discover new areas."
LEGO The Lord of the Rings,"Nintendo DS, PC, PlayStation 3, Nintendo 3DS, Xbox 360, Wii, PS Vita, Android, iOS","Action, Casual, Family, Platformer","Sep 28, 2012",Warner Bros. Interactive,10+ Everyone 10+,80,"LEGO The Lord of Rings is an adventure game that reimagines the events of the Lord of the Rings film trilogy with humor and Lego style. The game doesn’t follow the plot of the saga directly but features all the characters, major events and voice acting from it."
The Binding of Isaac: Rebirth,"Xbox One, macOS, Linux, Nintendo Switch, Nintendo 3DS, Wii U, PlayStation 4, PS Vita, iOS, PC","Action, RPG","Nov 3, 2014",Nicalis,17+ Mature,86,The Binding of Isaac: Rebirth is a remake of The Binding of Isaac.
Darksiders II Deathinitive Edition,"PlayStation 4, Xbox One, Nintendo Switch, PC","Action, RPG","Nov 5, 2015",THQ Nordic, Not rated,75,"Become the terrifying force which everything fears but nothing can escape. Awakened by the End of Days, Death, the most feared of the legendary Four Horsemen embarks on a quest to redeem his brother's name. Along the way, the Horseman discovers that an ancient grudge may threaten all of Creation. Death lives!
Deathinitive Edition Features:
Darksiders 2 with all DLC included and integrated into the game which offers a total playtime of more than 30 hours
Reworked and tuned game balancing and loot distribution
Improved Graphic Render Engine for higher visual quality especially in terms of lighting and shadows
Improved and reworked level, character and environment graphics
Running in native 1080p resolution
Steam Trading Cards
Features:
Play Death: Become the most feared of the legendary Four Horsemen, able to destroy entire worlds and battle forces beyond Heaven and Hell.
Epic Universe: Unlike anything the player has seen before, delivered in the unique style of Joe Mad.
Player Choice & Customization: Customize your experience with varied armor sets, weapons, and Skill Trees allowing players to create their own Death.
Replay-ability: Explore a vast open world, complete dozens of side quests and customize your Death with a full leveling system, Skill Trees and endless equipment combinations.
Traversal: Death is a nimble and agile character capable of incredible acrobatic feats allowing the player to explore the world like never before."
Dear Esther: Landmark Edition,"PlayStation 4, Xbox One, PC, macOS","Adventure, Casual, Indie","Feb 14, 2017",The Chinese Room, Not rated,75,"One of the earliest ""walking simulators"" made by the same team that developed Everybody’s Gone To The Rapture, Dear Esther is an art piece rather than a regular game. There's very little interactivity and zero action; you just walk around a rocky Scottish island in autumn. The major events of the plot are set in the past, and we only learn about them through the voice of the unseen narrator - the only voice in the game – who will read a certain letter from his past when he approaches a certain place. The letters slowly unfurl the mystery around him as you visit various locations on an island: the lighthouse, the cave, and others. The world of Dear Esther is far from open, and you can only follow the restricted pathways. To unlock all the achievements and find every audio clip, however, may require several walkthroughs."
Doki Doki Literature Club!,"Linux, PC, macOS","Adventure, Indie","Sep 22, 2017",Team Salvato, Not rated,78,"Doki Doki Literature Club puts you into the role of an anime character, an average Japanese schoolboy. Your protagonist joins a literature club in which he's the only male member. The remaining four girls – Monica, Sayori, Natsuki, and Yuri – compete for the boy’s attention. Each girl represents a certain anime character stereotype, such as tsundere, genki or kudere. As you get to know them closer, however, they turn out to have individual character traits on their own. Eventually, you will choose one of the girls to romance with and follow her personal storyline. The gameplay is based on interactions with the other characters and carefully choosing dialogue options. You will also perform tasks as a club member. The latter includes ""writing"" poetry, although the player actually only gets to select certain words to fill the blanks.
The plot and dialogue are front and center in this game. The visuals and soundtrack, however, are static and minimalistic: the music is looped, and characters have a very limited number of sprites in each scene. There's no voice acting, and you only interact with characters through text."
Sea of Thieves,"Xbox Series S/X, PC, Xbox One","Action, Adventure, Massively Multiplayer","Mar 20, 2018",Xbox Game Studios,13+ Teen,82,Sea of Thieves is a cooperative multiplayer action-adventure game developed by Rare.
Darksiders II,"PC, Wii U, PlayStation 3, Nintendo Switch, Xbox 360","Action, RPG","Aug 14, 2012",THQ,17+ Mature,83,"Darksiders II is a third person slasher/RPG, the second installment in the Darksiders series. The game shares many similarities with its predecessor, but also exhibits new features such as an open world, overhauled quest system and dialogues.
The main character is the second Rider of Apocalypse, Death, out on a quest to support previous game’s protagonist, War, and to restore what has been lost by the world. The key features of the series, the extensive combat system, and various riddles have also seen significant improvements. RPG elements exist in the form of leveling up your protagonist and acquiring new skills for both combat and battle support. The game also features an immersive soundtrack, which will accompany the players throughout every location and battle.
Darksiders II has implemented many traits common to third-person RPGs of the time, but it still manages to be outstanding with its unique design of locations and enemies, a more realistic combat system and other overhauls of the game mechanics, all resulting in a refined experience for any player."
Assassin's Creed,"Xbox 360, PC, Xbox One, PlayStation 3","Action, Adventure","Nov 13, 2007",Ubisoft Entertainment,17+ Mature,80,"The game takes place in 1191. In the present time, 2012, bartender Desmond Miles, the main character, kidnapped by the Corporation ""Abstergo industries"", which with the help of a machine called ""Animus"" wants to find an artefact. He learns that he is a descendant of the assassin Altair, who discovered this artefact. They need Desmond to know the location of the treasure through him."
Dark Souls: Remastered,"Nintendo Switch, PC, PlayStation 4, Xbox One","Action, RPG","May 23, 2018",Bandai Namco Entertainment, Not rated,84,"Then, there was fire. Re-experience the critically acclaimed, genre-defining game that started it all. Beautifully remastered, return to Lordran in stunning high-definition detail running at 60fps.
Dark Souls Remastered includes the main game plus the Artorias of the Abyss DLC.
Key features:
• Deep and Dark Universe
• Each End is a New Beginning
• Gameplay Richness and Possibilities
• Sense of Learning, Mastering and Accomplishment
• The Way of the Multiplayer (up to 6 players with dedicated servers)"
Trine Enchanted Edition,"Nintendo Switch, PlayStation 4, macOS, PC, Linux","Action, Arcade, Indie, Platformer","Jul 2, 2009",Frozenbyte, Not rated,80,"The king died and did not leave an heir, the kingdom fell into civil strife, the land in response to lawlessness and disorder brought to the surface hordes of monsters, increasing chaos.
The magician, knight and thief were united by fate for the struggle for peace and the restoration of the kingdom. Alone and together they fight with enemies, solve puzzles and overcome obstacles on fifteen different levels. Decisions can be more than one, and they can be composed of the skills of all three players.
Exquisite, delicate drawing of the world and characters. Very elegant, subtle, very realistic sounds - yes, realistic sounds of the magic world. That's precisely the way it should be. But when the hero breaks the wall with a ram or stumbles upon a mountain of treasures - the battering ram sounds like a battering ram, and the mountain is imposing. Very cleverly put light makes the world deep, voluminous and alive. Passing the game, you do not want to rush, you want to consider, to discover all its details, to admire them for your pleasure.
The game supports 3D mode, you need a suitable TV and stereoscopic glasses."
Neverwinter,"PlayStation 4, Xbox One, PC","Action, RPG, Massively Multiplayer","Jun 20, 2013",Perfect World Entertainment,13+ Teen,77,"The multiplayer game ""Neverwinter"" takes place in the setting of Forgotten Realms - one of the most developed worlds of the game Dungeons & Dragons.
At the beginning of the game, the city of Neverwinter is in chaos because of the sudden disappearance of Lord of Neverwinter.
In the novel by Robert Salvatore ""Gauntlgrym"", dedicated to this period, it is said that after plunging into chaos, Spellplague and a Primordial Fire Elemental almost destroyed the city.
The remaining residents united in several factions, between which a struggle for power in the city broke out. The dead began to emerge from the graves, they call the city their home and also pretend to power. The player is investigating the case of the Sect Crown of Neverwinter, trying to find out what all this undead is looking for. The list of locations is based on the novels Gauntlgrym, Neverwinter, and Charon's Claw.
Players can create their own new locations, related or not at all related to the rest of the game content. Content created by players is clearly marked as such, so as not to mislead other players.
The game is based on a modified version of the Dungeons & Dragons 4th edition rules set."
Minion Masters,"Xbox One, PC","Action, Strategy, Indie","May 24, 2019",BetaDwarf, Not rated,90,"Two small platforms hang in space, each has a place for the commander and his few, but diverse warriors. Between the platforms there are two bridges. The goal of the game is to capture and hold bridges. The game involved more than three hundred characters.
You can fight with players of different levels. There are game modes with the computer and with any partners, friends or players found on the game server on the Internet.
After the end of the battle, you can see all the initial conditions of the opponent in the last game and all his actions in it. It is possible to trace what decisions the enemy took, how he equipped the troops and how he controlled them.
The amount of armament and power increases from level to level, from battle to victory. A variety of monsters and fantastic teams are combined in different combinations to conquer and suppress the enemy. Control of the bridge and neutralization of enemy forces - in this game this is the sacred grail, after which the player goes away time and again, honing his mastery of strategic planning."
Final Fantasy VII,"PC, PlayStation 5, PlayStation 4","Action, Adventure, RPG","Apr 10, 2020",Square Enix,13+ Teen,87,"The world is under the control of Shinra, a corporation controlling the planet's life force as mako energy. In the city of Midgar, Cloud Strife, former member of Shinra's elite SOLDIER unit now turned mercenary lends his aid to the Avalanche resistance group, unaware of the epic consequences that await him."
Resident Evil Revelations 2 / Biohazard Revelations 2,"Nintendo Switch, Xbox One, Xbox 360, PlayStation 3, PlayStation 4, PS Vita, PC","Action, Adventure","Feb 24, 2015",Capcom,17+ Mature,83,"Resident Evil Revelations 2 / Biohazard Revelations 2 is a four-part episodic survival horror, a part of the Resident Evil franchise and the tenth installment in the series. It follows Claire Redfield, the protagonist of Resident Evil 2, that was kidnapped and forced to survive among monsters on Sushestvovanie Island. There are two endings depending on the decisions made throughout the game.
Two bonus episodes extend the story and tell about Natalia Korda, a little girl with supernatural powers, and Moira Burton, Claire’s colleague. These episodes have a more suspenseful atmosphere as you need to survive without using guns.
There are two pairs of playable characters in Revelations 2: Claire and Moira Burton, and Barry Burton and Natalia Korda. While only one character in each pair has weapons, it's important to complete missions stealthy if possible. Supportive characters, though, has special abilities, such as fighting with bricks or finding hidden items. The game supports cooperative gameplay on consoles and features the Raid mode, which allows customizing your skills and weapons."
Broken Age,"Android, PS Vita, Nintendo Switch, Linux, macOS, PC, iOS, PlayStation 4, Xbox One","Adventure, Casual, Family, Indie, Puzzle","Jan 28, 2014",THQ Nordic, Not rated,81,"Broken Age is a classic point-and-click adventure game, which tells a story of two completely different teenagers seeking to change their life pace. The action takes place in an imaginary universe shown in a 2.5D perspective. The gameplay is divided into two main storylines, so players are able to assume the roles of both Vella Tartine and Shay Volta. The game allows switching characters at any time. Firstly, events move players to Sugar Bunting town occupied by fictional monsters called Mogs, which demand a sacrifice of young girls every 14 years. Once the protagonist Vella finds herself chosen to be the sacrificed maiden. As she tries to stay alive, she realizes that the only way out is to fight the monster and to liberate her hometown. The second story tells about Shay, a lone boy imprisoned in a spaceship between two AI systems. The boy seeks independence and starts to explore the entire ship then moving to the whole war-torn galaxy. Both storylines are not expected to connect somehow, but in the course of completion game levels, players start to notice similar slight details."
Assassin’s Creed Brotherhood,"PlayStation 3, Xbox 360, Xbox One, PlayStation 4, PC, macOS","Action, Adventure","Nov 16, 2010",Ubisoft Entertainment,17+ Mature,88,
Oxenfree,"Nintendo Switch, Xbox One, PlayStation 4, iOS, PC, Linux, Android, macOS","Adventure, RPG, Indie","Jan 14, 2016",Night School Studio,13+ Teen,80,"SUMMER 2016's HUGE CONTENT UPDATE: The most mind bending game of the year has new storylines, scenes, and endings, plus a multi-episode behind-the-scenes documentary.
""OXENFREE: The emotional adventure game you need to know about"" - IGN
""A mix of Freaks and Geeks, Poltergeist and the best teen films of the ’80s"" – Polygon
""Part teen drama, part terrifying ghost story"" – Kill Screen
Oxenfree is a supernatural thriller about a group of friends who unwittingly open a ghostly rift. Play as Alex, a bright, rebellious teenager who brings her new stepbrother Jonas to an overnight party on an old military island. The night takes a terrifying turn when you unwittingly open a ghostly gate spawned from the island’s cryptic past. How you deal with these events, your peers, and the ominous creatures you’ve unleashed is up to you.
YOU determine every aspect of Alex's story while exploring Edwards Island, uncovering the base's dark past, and changing the course of your friends' lives.
Features:
An intelligent conversation system that changes the story and your relationships based on every decision
A unique radio mechanic that allows Alex to communicate with mysterious spectres and manipulate her world
Art from Disney alum and an original soundtrack by scntfc (Sword & Sworcery, Galak-Z)
Multiple mysteries to unravel, spanning decades and lifetimes
Inspired by little-known events of World War II
Featuring voice talent from The Wolf Among Us, The Walking Dead, Borderlands and more
Starring:
Erin Yvette (The Wolf Among Us, Tales From the Borderlands)
Gavin Hammon (The Walking Dead, The Wolf Among Us, Tomb Raider)
Britanni Johnson (Borderlands, Borderlands 2)
Music and Sound by scntfc"
Monaco: What's Yours Is Mine,"PC, Xbox 360, macOS, Linux","Action, Strategy, Casual, Indie","Apr 24, 2013",Majesco Entertainment,13+ Teen,83,"Monaco: What’s Yours Is Mine is a top-down stealth and action game, which provides players with both single and multiplayer experience. The main storyline is divided into four parts: the first three follow the characters, while the last one is played for the police side. To start another “big score” players have to select one of eight available characters. Each character has different skills and special abilities, so the squad should be appropriately chosen in advance. From the very beginning, players are able to assume the roles of four criminals: the Locksmith, the Cleaner, the Lookout, and the Pickpocket. The remaining four – the Mole, the Gentleman, the Redhead, and the Hacker – will be unlocked during the further game progress. The gameplay is about completing levels in multiple ways depending on the players’ character choice. Monaco: What’s Yours Is Mine gives an opportunity to dive into the crime world and participate in heists and robberies throughout the world alone or in co-operation up to four players."
F.E.A.R. 3,"PC, PlayStation 3, Xbox 360","Action, Shooter","Mar 25, 2011",Warner Bros. Interactive, Not rated,85,"The third game of the FEAR series of games. The general outline of the whole line of these games is the confrontation of special forces, to be more precise, a soldier named ""Operative"", and a squad of super-soldier clones who refused to obey their superiors. Rebellious clone soldiers are capable of even cannibalism, and other details of the setting correspond to this level of fear.
Protagonists and antagonists have unusual abilities or conventional abilities, developed to an unusually high level. This is manifested, among other things, in the possession of ghostly forms, by which it is possible to mislead other people."
PlanetSide 2,"PlayStation 4, PC","Action, Shooter, Massively Multiplayer","Nov 20, 2012",Daybreak Game Company,13+ Teen,84,Planetside 2 is a massive multiplayer first-person shooter with an emphasis on large-scale battles developed by Daybreak Game Company.
Killer is Dead - Nightmare Edition,PC,Action,"May 23, 2014",Deep Silver, Not rated,85,"The hero ""KILLER IS DEAD"" acts in the world of the near future. This world is very similar to ours but still different. The name of the hero is Mondo Zappa, and he is the executioner, the executor of the death sentences. His goal - to execute the notorious criminals scattered all over the world and beyond. His right hand is real, he uses it to wield a sword. And the left, artificial hand has different weapons.
The game includes twelve missions: from short linear levels to long levels that require exploration. There are three types of missions: the main ones that move the game forward, missions inside the main ones and missions of «Scarlett"" type, in which a female supporting character with this name appears.
The edition of Nightmare is distinguished by a new mode of complexity. In this mode, the enemies can be defeated only by a few specific attacks, the game requires more skill here. These attacks can be opened by inflicting a series of blows on the opponent and not getting a blow at the same time. Attacks can be combined with each other.
After the third episode, the ""Smooth Operator"" add-on is unlocked.
Тhere is also a ""Theater Mode"" to review the videos and learn from his gaming experience."
Persona 5,"PlayStation 3, PlayStation 4","Action, Adventure, RPG","Sep 15, 2016",Deep Silver,17+ Mature,93,"Persona series is a part of Japanese franchise Megami Tensei and is famous for its anime-like visual style. Persona 5 follows the unnamed main character, a high school student who was falsely accused of assault. He joins the Shujin Academy where he becomes the leading member of Phantom Thieves of Hearts. They are a gang of vigilantes who can to control their Personas and use them in a fight. The Personas are manifestations of people’s personalities that look like fictional characters. The Phantom Thieves accompany the main character in his battles as a party.
The world of Persona consists of two parts. One is the modern Tokyo, in which the main characters live their daily teenagers’ lives. This is the place for most character interactions, including romancing. The other part is Metaverse, a parallel supernatural world that contains Palaces, which are manifestations of people’s malicious thoughts and desires. By day, the main character and his friends attend school and meet friends, and by night, they fight villains in the Metaverse to steal treasures from their Palaces. Battles are turn-based, and characters use a variety of weapons as well as their Personas that provide them with battle magic."
Stray,"Xbox Series S/X, PC, PlayStation 5, PlayStation 4","Action, Adventure, Indie, Puzzle, Platformer","Jul 19, 2022",Annapurna Interactive,10+ Everyone 10+,82,"Lost, alone and separated from family, a stray cat must untangle an ancient mystery to escape a long-forgotten city."
Spelunky,"PlayStation 3, Xbox 360, PC, PlayStation 4, PS Vita","Indie, Platformer","Jul 4, 2012",Microsoft Studios,13+ Teen,90,"You play as an adventurer known as a spelunker. The primary task is to explore the caves, collecting as many treasures as possible, avoid the traps of enemies. "
The Talos Principle,"Xbox One, PlayStation 4, iOS, PC, macOS, Linux, Nintendo Switch, Android","Adventure, Indie, Puzzle","Dec 11, 2014",Devolver Digital,10+ Everyone 10+,85,"The Talos Principle is a puzzle game set in Ancient Greece full of technological devices. You take on the role of Talos, artificial man, the protector of Crete in Greek mythology. You are led by Elohim, your mentor, who allows you to explore the world and open portals to other locations, such as Ancient Egypt or Medieval Europe. The only place Elohim forbids you to go to is the Tower. Of course, the goal of the game is to enter it and reveal its secrets.
Your way to the Tower lays among turrets you must avoid solving various environmental puzzles. The further you go, the more complicated these puzzles become, turning into long series of actions. You get new abilities and can interact with a larger amount of items, and the game remains challenging during the entire playthrough. 
Based on Greek mythology, The Talos Principle rises such philosophical problems as the humanity of artificial intelligence, androids’ desire to live forever and the confrontation between God and his creatures. These ideas are described in multiple notes, diaries and terminals."
Divinity: Original Sin,"PlayStation 4, macOS, PC, Xbox One","RPG, Strategy, Indie","Jun 30, 2014",Larian Studios,17+ Mature,87,"<br/><br/>Gather your party and get ready for a new, back-to-the-roots RPG adventure! Discuss your decisions with companions; fight foes in turn-based combat; explore an open world and interact with everything and everyone you see. Join up with a friend to play online in co-op and make your own adventures with the powerful RPG toolkit. <br/><br/>In <strong>Divinity: Original Sin</strong> you take on the role of a young Source Hunter: your job is to rid the world of those who use the foulest of magics. When you embark on what should have been a routine murder investigation, you suddenly find yourself in the middle of a plot that will rattle the very fabric of time.<br/><br/><strong>Divinity: Original Sin</strong> is a game that gives you a lot of freedom and plenty of gameplay mechanics to use or abuse. The game's epic story may drive you toward your ultimate end-goal, but how you get there is entirely up to you.<br/><br/>Or up to you and a friend, because Divinity: Original Sin can be played completely cooperatively, and features both online and local drop-in/drop-out multiplayer. Great adventures become even greater when shared with a trusted comrade-in-arms!<h3>Key Features</h3><ul><li><strong>Become part of a reactive, living and vast open world.</strong> Explore many different environments, fight all kinds of fantastical creatures and discover tons of desirable items.<br/></li><li><strong>Experience gripping party- and turn-based combat.</strong> Manipulate the environment and use skill &amp; spell combos to overcome your many foes: Use magic to make it rain on your enemies, then cast a lightning spell to fry them to a crisp. Experiment with different skill combinations to ruin the day for enemies and townspeople alike. <br/></li><li><strong>Play with a friend in co-op multiplayer.</strong> Make decisions together (or disagree entirely), as your interactions and relationship with your partner influence the game.<br/></li><li><strong>Unravel a deep and epic story</strong>, set in the early days of the Divinity universe. No prior experience with other Divinity games is necessary, however. The game takes place well before its predecessors, Divine Divinity and Divinity II: The Dragon Knight Saga, but will still feel familiar to fans.<br/></li><li><strong>Classless character creation</strong> lets you design the character of your choice. Endless item interaction and combinations take exploration and experimentation to another level of freedom.<br/></li><li><strong>Create your own adventures</strong> and share them online. With Original Sin comes the powerful toolset used by the game's designers. Yours are endless new stories to make and share with other players!</li></ul><h3>Digital Collector's Edition</h3>The Digital Collector's Edition contains:<br/><br/><br/><ul><li><strong>2 copies of Divinity: Original Sin</strong>: one for you and pass on the second key to a friend<br/></li><li><strong>Award-winning <strong>Divine Divinity</strong> and <strong>Beyond Divinity</strong><br/></strong></li><li><strong>The Golden Grail DLC</strong>: an in-game item that allows you to colour your items in gold and sell them for more.<br/></li><li><strong>Zandalor's Trunks DLC</strong>: enjoy a unique in-game undergarment as rare as it is opinionated.<br/></li><li><strong>Design Documents</strong><br/></li><li><strong>Art Pack</strong><br/></li><li><strong>Soundtrack</strong></li></ul><br/>"
The Swapper,"Wii U, Xbox One, macOS, PS Vita, PC, Linux, PlayStation 3, PlayStation 4","Action, Adventure, Indie, Puzzle, Platformer","May 13, 2013",Curve Digital,10+ Everyone 10+,87,"The Swapper is a classical platform game with several elements of Metroidvania focused on solving puzzles. The game follows a female astronaut stranded on the abandoned space research station in a science-fictional universe. Completing the game players will be able to learn more about the fate of researches and to restore the sequence of events held aboard the station. Players assume the role of the protagonist, as she tries to clarify the mystery of a unique item, which allows her to clone herself and to transfer the mind to the clone. Therefore, the cloning ability is a basic game mechanic that helps the player to solve puzzles and complete levels. The gameplay features traditional side-scrolling platformers’ elements: players control the 2D action from the third-person perspective. In the course of the completion, players are going to face obstacles of varying degrees of complexity ranging from simple barriers (however inaccessible for clones) to higher platforms or even gravity shutdowns."
